ITEM,AÑO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD (PARQUE),DIRECCION DEL PARQUE,PROGRAMA 
1,2024,ENERO,13/01/2024,SENSIBILIZACIÓN CUIDADO DE LA PIEL E IMPORTANCIA DEL CUIDADO CONTRA LOS RAYOS UV,DIRIGIDO AL PÚBLICO EN GENERAL,9:00am A 11:00am,CLUB MET HUÁSCAR,Esquina de Av. 200 millas con Av. Revolución,
2,2024,ENERO,13/07/2024,APRENDIENDO UN DEPORTE: BADMINTON,DIRIGIDO AL PÚBLICO EN GENERAL,10:30 AM - 12:00 PM,CLUBMET CAHUIDE,Av. Los Parques 251 Fundo Valdiviezo ,
3,2024,ENERO,20/01/2024,MASTER CLASS,GYM,11:00 AM A 1:00 PM,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay,
4,2024,ENERO,20/01/2024,APRENDE Y JUEGA QUIDDICTH,A PARTIR DE LOS 7 AÑOS EN ADELANTE,03:00 p. m.,WIRACOCHA,Av. Próceres de la Independencia cdra. 12,
5,2024,ENERO,27/01/2024,TEATRO PARA TODOS,diseñado para jóvenes de 12 a 20 años con diferentes niveles de experiencia,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo,
6,2024,ENERO,27/01/2024,APRENDE Y JUEGA QUIDDICTH,A PARTIR DE LOS 7 AÑOS EN ADELANTE,03:00 p. m.,CLUB METROPOLITANO WIRACOCHA,Av. Próceres de la Independencia cdra. 12,
1,2024,FEBRERO,02/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL LLOQUE YUPANQUI,Esquina de Av. 200 millas con Av. Revolución,
2,2024,FEBRERO,03/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,CLUB ZONAL HUAYNA CAPAC,Av. Los Parques 251 Fundo Valdiviezo ,
3,2024,FEBRERO,03/02/2024,MASTER CLASS DE AQUAFOLKSION,DIRIGIDO A ADULTOS MAYORES,9:00 AM A 11 AM,CLUB METROPOLITANO WIRACOCHA,Cruce de Jr. Amazonas y Av. Abancay,
4,2024,FEBRERO,03/02/2024,MASTER CLASS DE AQUAFOLKSION,DIRIGIDO A ADULTOS MAYORES,11:00 AM A 12 M,CLUB METROPOLITANO HUASCAR,Av. Próceres de la Independencia cdra. 12,
5,2024,FEBRERO,03/02/2024,MASTER CALSS OLD SCHOOL,NIÑOS Y ADULTOS,9:10AM A 10:00AM,CLUB METROPOLITANO CAHUIDE,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo,
6,2024,FEBRERO,07/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONALSINCHI ROCA,Cruce de Av. Universitaria y Av. Jamaica en el distrito de Comas,
7,2024,FEBRERO,08/02/2024,NEUROCIENCIAS: IMPORTANCIA DE LA CULTURA Y EL DEPORTE EN EL DESARROLLO DEL CEREBRO,DIRIGIDO A PÚBLICO DESDE LOS 12 AÑOS,3:20 PM-5PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate,
8,2024,FEBRERO,09/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL WIRACOCHA,Cruce de Jr. Amazonas y Av. Abancay,
